task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
cameo_ner,ner,ConfliBERT-v2-native-psfix,123,128,5,16,0.67972,"{""f1_micro"": 0.6797172376291463, ""f1_macro"": 0.6121317810606084, ""precision"": 0.6572029442691903, ""recall"": 0.7038288288288288, ""acc"": 0.9176947777589995, ""primary"": 0.6797172376291463, ""lr"": 8e-05, ""dev_primary"": 0.75852}"
cameo_ner,ner,ConfliBERT-v2-native-psfix,123,128,5,16,0.73708,"{""f1_micro"": 0.7370786516853933, ""f1_macro"": 0.6990930721444008, ""precision"": 0.7354260089686099, ""recall"": 0.7387387387387387, ""acc"": 0.9252999830995436, ""primary"": 0.7370786516853933, ""lr"": 0.00016, ""dev_primary"": 0.77508}"
cameo_ner,ner,ConfliBERT-v2-native-psfix,123,128,5,16,0.71915,"{""f1_micro"": 0.7191513121161363, ""f1_macro"": 0.6782136695556028, ""precision"": 0.7131782945736435, ""recall"": 0.7252252252252253, ""acc"": 0.9220043941186412, ""primary"": 0.7191513121161363, ""lr"": 0.00024, ""dev_primary"": 0.7515}"
cameo_ner,ner,ConfliBERT-v2-native-psfix,124,128,5,16,0.72579,"{""f1_micro"": 0.7257889009793255, ""f1_macro"": 0.6476208836533487, ""precision"": 0.7021052631578948, ""recall"": 0.7511261261261262, ""acc"": 0.9256379922257901, ""primary"": 0.7257889009793255, ""lr"": 0.00016, ""dev_primary"": 0.75073}"
cameo_ner,ner,ConfliBERT-v2-native-psfix,125,128,5,16,0.73947,"{""f1_micro"": 0.7394678492239468, ""f1_macro"": 0.664984607496412, ""precision"": 0.7281659388646288, ""recall"": 0.7511261261261262, ""acc"": 0.9276660469832686, ""primary"": 0.7394678492239468, ""lr"": 0.00016, ""dev_primary"": 0.79098}"
cameo_ner,ner,ConfliBERT-v2-wsd-core-psfix,123,128,5,16,0.67504,"{""f1_micro"": 0.6750409612233751, ""f1_macro"": 0.5660933794549914, ""precision"": 0.6553552492046659, ""recall"": 0.6959459459459459, ""acc"": 0.9076390062531688, ""primary"": 0.6750409612233751, ""lr"": 5e-05, ""dev_primary"": 0.70418}"
cameo_ner,ner,ConfliBERT-v2-wsd-core-psfix,123,128,5,16,0.70762,"{""f1_micro"": 0.7076247942951178, ""f1_macro"": 0.6199520832683737, ""precision"": 0.6898395721925134, ""recall"": 0.7263513513513513, ""acc"": 0.918877809700862, ""primary"": 0.7076247942951178, ""lr"": 8e-05, ""dev_primary"": 0.70333}"
cameo_ner,ner,ConfliBERT-v2-wsd-core-psfix,123,128,5,16,0.72298,"{""f1_micro"": 0.7229840921557872, ""f1_macro"": 0.6763863850189659, ""precision"": 0.704812834224599, ""recall"": 0.7421171171171171, ""acc"": 0.9255534899442285, ""primary"": 0.7229840921557872, ""lr"": 0.00016, ""dev_primary"": 0.7511}"
cameo_ner,ner,ConfliBERT-v2-wsd-core-psfix,123,128,5,16,0.74903,"{""f1_micro"": 0.7490261547022815, ""f1_macro"": 0.6706639046708062, ""precision"": 0.7403740374037404, ""recall"": 0.7578828828828829, ""acc"": 0.9277505492648301, ""primary"": 0.7490261547022815, ""lr"": 0.00024, ""dev_primary"": 0.769}"
cameo_ner,ner,ConfliBERT-v2-wsd-core-psfix,124,128,5,16,0.75685,"{""f1_micro"": 0.7568474007825601, ""f1_macro"": 0.6849417937147892, ""precision"": 0.7513873473917869, ""recall"": 0.7623873873873874, ""acc"": 0.9264830150414061, ""primary"": 0.7568474007825601, ""lr"": 0.00024, ""dev_primary"": 0.79701}"
cameo_ner,ner,ConfliBERT-v2-wsd-core-psfix,125,128,5,16,0.74058,"{""f1_micro"": 0.7405764966740576, ""f1_macro"": 0.7057261471766045, ""precision"": 0.7292576419213974, ""recall"": 0.7522522522522522, ""acc"": 0.9295250971776238, ""primary"": 0.7405764966740576, ""lr"": 0.00024, ""dev_primary"": 0.79525}"
cameo_ner,ner,ConfliBERT-v2-wsd-TAPT-psfix,123,128,5,16,0.71903,"{""f1_micro"": 0.7190265486725663, ""f1_macro"": 0.6600481744508057, ""precision"": 0.7065217391304348, ""recall"": 0.7319819819819819, ""acc"": 0.9258069967889133, ""primary"": 0.7190265486725663, ""lr"": 5e-05, ""dev_primary"": 0.72806}"
cameo_ner,ner,ConfliBERT-v2-wsd-TAPT-psfix,123,128,5,16,0.74037,"{""f1_micro"": 0.7403685092127303, ""f1_macro"": 0.7030473942811111, ""precision"": 0.7342192691029901, ""recall"": 0.7466216216216216, ""acc"": 0.9294405948960622, ""primary"": 0.7403685092127303, ""lr"": 8e-05, ""dev_primary"": 0.78698}"
cameo_ner,ner,ConfliBERT-v2-wsd-TAPT-psfix,123,128,5,16,0.73654,"{""f1_micro"": 0.7365439093484419, ""f1_macro"": 0.6611159181866364, ""precision"": 0.7411630558722919, ""recall"": 0.7319819819819819, ""acc"": 0.9226804123711341, ""primary"": 0.7365439093484419, ""lr"": 0.00016, ""dev_primary"": 0.78287}"
cameo_ner,ner,ConfliBERT-v2-wsd-TAPT-psfix,123,128,5,16,0.73773,"{""f1_micro"": 0.7377326565143824, ""f1_macro"": 0.677316514991613, ""precision"": 0.7389830508474576, ""recall"": 0.7364864864864865, ""acc"": 0.9262295081967213, ""primary"": 0.7377326565143824, ""lr"": 0.00024, ""dev_primary"": 0.75976}"
cameo_ner,ner,ConfliBERT-v2-wsd-TAPT-psfix,124,128,5,16,0.73918,"{""f1_micro"": 0.739178690344062, ""f1_macro"": 0.6843206137575769, ""precision"": 0.7286652078774617, ""recall"": 0.75, ""acc"": 0.9260605036335982, ""primary"": 0.739178690344062, ""lr"": 8e-05, ""dev_primary"": 0.77198}"
cameo_ner,ner,ConfliBERT-v2-wsd-TAPT-psfix,125,128,5,16,0.71074,"{""f1_micro"": 0.7107438016528925, ""f1_macro"": 0.6451228862559882, ""precision"": 0.6957928802588996, ""recall"": 0.7263513513513513, ""acc"": 0.9250464762548589, ""primary"": 0.7107438016528925, ""lr"": 8e-05, ""dev_primary"": 0.73932}"
re3d,ner,ConfliBERT-v2-wsd-TAPT-psfix,123,128,5,16,0.60892,"{""f1_micro"": 0.6089238845144356, ""f1_macro"": 0.46264607608592756, ""precision"": 0.5471698113207547, ""recall"": 0.6863905325443787, ""acc"": 0.8779003423354887, ""primary"": 0.6089238845144356, ""lr"": 5e-05, ""dev_primary"": 0.61488}"
re3d,ner,ConfliBERT-v2-wsd-TAPT-psfix,123,128,5,16,0.64319,"{""f1_micro"": 0.6431893687707642, ""f1_macro"": 0.5112287617451534, ""precision"": 0.5838359469240049, ""recall"": 0.7159763313609467, ""acc"": 0.8845568657284139, ""primary"": 0.6431893687707642, ""lr"": 8e-05, ""dev_primary"": 0.64753}"
re3d,ner,ConfliBERT-v2-wsd-TAPT-psfix,123,128,5,16,0.66712,"{""f1_micro"": 0.6671214188267394, ""f1_macro"": 0.5719256922870815, ""precision"": 0.6189873417721519, ""recall"": 0.7233727810650887, ""acc"": 0.8849372384937239, ""primary"": 0.6671214188267394, ""lr"": 0.00016, ""dev_primary"": 0.67862}"
re3d,ner,ConfliBERT-v2-wsd-TAPT-psfix,123,128,5,16,0.68548,"{""f1_micro"": 0.6854783207157605, ""f1_macro"": 0.5828359161322363, ""precision"": 0.640926640926641, ""recall"": 0.7366863905325444, ""acc"": 0.8889311525294789, ""primary"": 0.6854783207157605, ""lr"": 0.00024, ""dev_primary"": 0.69666}"
re3d,ner,ConfliBERT-v2-wsd-TAPT-psfix,124,128,5,16,0.70604,"{""f1_micro"": 0.706042090970808, ""f1_macro"": 0.606083554404688, ""precision"": 0.6524466750313677, ""recall"": 0.7692307692307693, ""acc"": 0.894446557626474, ""primary"": 0.706042090970808, ""lr"": 0.00024, ""dev_primary"": 0.6922}"
re3d,ner,ConfliBERT-v2-wsd-TAPT-psfix,125,128,5,16,0.69396,"{""f1_micro"": 0.6939625260235948, ""f1_macro"": 0.560731906892624, ""precision"": 0.6535947712418301, ""recall"": 0.7396449704142012, ""acc"": 0.8860783567896539, ""primary"": 0.6939625260235948, ""lr"": 0.00024, ""dev_primary"": 0.70027}"
re3d,ner,ConfliBERT-v2-aug-wsd-psfix,123,128,5,16,0.6283,"{""f1_micro"": 0.6283006093432633, ""f1_macro"": 0.511827097803513, ""precision"": 0.5792759051186017, ""recall"": 0.6863905325443787, ""acc"": 0.8801825789273487, ""primary"": 0.6283006093432633, ""lr"": 5e-05, ""dev_primary"": 0.6477}"
re3d,ner,ConfliBERT-v2-aug-wsd-psfix,123,128,5,16,0.6653,"{""f1_micro"": 0.665303340149966, ""f1_macro"": 0.5326173990492111, ""precision"": 0.6169405815423514, ""recall"": 0.7218934911242604, ""acc"": 0.8902624572080639, ""primary"": 0.665303340149966, ""lr"": 8e-05, ""dev_primary"": 0.67483}"
re3d,ner,ConfliBERT-v2-aug-wsd-psfix,123,128,5,16,0.68256,"{""f1_micro"": 0.6825613079019074, ""f1_macro"": 0.5560838992535423, ""precision"": 0.6325757575757576, ""recall"": 0.7411242603550295, ""acc"": 0.892925066565234, ""primary"": 0.6825613079019074, ""lr"": 0.00016, ""dev_primary"": 0.696}"
