task,task_type,model,seed,seq_len,epochs,bsz,primary,metrics_json
insightCrime,multilabel,ConfliBERT-2021,124,512,5,8,0.67738,"{""eb_f1"": 0.6773809523809523, ""eb_acc"": 0.6331168831168831, ""eb_prec"": 0.7482758620689656, ""eb_rec"": 0.747086247086247, ""f1_micro"": 0.7086834733893558, ""f1_macro"": 0.717928484036357, ""primary"": 0.6773809523809523, ""lr"": 8e-05, ""dev_primary"": 0.71917}"
insightCrime,multilabel,ConfliBERT-2021,125,512,5,8,0.68656,"{""eb_f1"": 0.6865573770491803, ""eb_acc"": 0.646448087431694, ""eb_prec"": 0.7554410080183276, ""eb_rec"": 0.7365967365967366, ""f1_micro"": 0.7094017094017094, ""f1_macro"": 0.7154720909102458, ""primary"": 0.6865573770491803, ""lr"": 8e-05, ""dev_primary"": 0.72913}"
insightCrime,multilabel,ConfliBERT-v2-native,123,512,5,8,0.66612,"{""eb_f1"": 0.6661184210526315, ""eb_acc"": 0.6244517543859649, ""eb_prec"": 0.7336769759450171, ""eb_rec"": 0.712121212121212, ""f1_micro"": 0.6866096866096866, ""f1_macro"": 0.6868242045795465, ""primary"": 0.6661184210526315, ""lr"": 2e-05, ""dev_primary"": 0.68923}"
insightCrime,multilabel,ConfliBERT-v2-native,123,512,5,8,0.66418,"{""eb_f1"": 0.6641774891774892, ""eb_acc"": 0.6195887445887446, ""eb_prec"": 0.7357305936073059, ""eb_rec"": 0.7237762237762237, ""f1_micro"": 0.692090395480226, ""f1_macro"": 0.6900707656634856, ""primary"": 0.6641774891774892, ""lr"": 3e-05, ""dev_primary"": 0.69949}"
insightCrime,multilabel,ConfliBERT-v2-native,123,512,5,8,0.66057,"{""eb_f1"": 0.6605664488017429, ""eb_acc"": 0.6160130718954249, ""eb_prec"": 0.7314814814814815, ""eb_rec"": 0.722027972027972, ""f1_micro"": 0.6918767507002801, ""f1_macro"": 0.697831869930835, ""primary"": 0.6605664488017429, ""lr"": 5e-05, ""dev_primary"": 0.71135}"
insightCrime,multilabel,ConfliBERT-v2-native,123,512,5,8,0.70252,"{""eb_f1"": 0.7025219298245614, ""eb_acc"": 0.6606359649122806, ""eb_prec"": 0.7497155858930603, ""eb_rec"": 0.7698135198135199, ""f1_micro"": 0.7290233837689133, ""f1_macro"": 0.7247506669066984, ""primary"": 0.7025219298245614, ""lr"": 8e-05, ""dev_primary"": 0.70412}"
insightCrime,multilabel,ConfliBERT-v2-native,124,512,5,8,0.65744,"{""eb_f1"": 0.6574375678610207, ""eb_acc"": 0.6167209554831704, ""eb_prec"": 0.7317073170731707, ""eb_rec"": 0.7179487179487178, ""f1_micro"": 0.6921985815602837, ""f1_macro"": 0.6875443594365647, ""primary"": 0.6574375678610207, ""lr"": 5e-05, ""dev_primary"": 0.7001}"
insightCrime,multilabel,ConfliBERT-v2-native,125,512,5,8,0.66394,"{""eb_f1"": 0.6639433551198257, ""eb_acc"": 0.6230936819172114, ""eb_prec"": 0.7570422535211268, ""eb_rec"": 0.7109557109557109, ""f1_micro"": 0.6929824561403509, ""f1_macro"": 0.6886293878775083, ""primary"": 0.6639433551198257, ""lr"": 5e-05, ""dev_primary"": 0.68957}"
satp_relevant,multilabel,ConfliBERT-2021,123,256,5,16,0.89256,"{""eb_f1"": 0.892560801144492, ""eb_acc"": 0.8648068669527897, ""eb_prec"": 0.9291845493562232, ""eb_rec"": 0.8826895565092989, ""f1_micro"": 0.8769230769230769, ""f1_macro"": 0.8484778774633847, ""primary"": 0.892560801144492, ""lr"": 2e-05, ""dev_primary"": 0.90216}"
satp_relevant,multilabel,ConfliBERT-2021,123,256,5,16,0.89685,"{""eb_f1"": 0.8968526466380542, ""eb_acc"": 0.871244635193133, ""eb_prec"": 0.9313304721030042, ""eb_rec"": 0.8869814020028612, ""f1_micro"": 0.8829174664107485, ""f1_macro"": 0.8541516939681171, ""primary"": 0.8968526466380542, ""lr"": 3e-05, ""dev_primary"": 0.90273}"
